"date","series_ticker","market_ticker","lower","upper","implied_prob","bid","ask","forecast","ens_sd","clim","realized_value","regime_true","outcome"
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B32.5",32.5,34.5,0.0181672236164369,0,0.0428038791441081,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B34.5",34.5,36.5,0.102519670737536,0.0795700641522868,0.125469277322785,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B36.5",36.5,38.5,0.271988891062007,0.252428668883247,0.291549113240767,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B38.5",38.5,40.5,0.340508219356772,0.322318383743908,0.358698054969637,39.5178541411723,1.49673356697384,39.5304146661248,40,1,1
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B40.5",40.5,42.5,0.201342462033468,0.180369311274137,0.222315612792798,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B42.5",42.5,44.5,0.0561124448423154,0.0322346937391617,0.0799901959454691,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B44.5",44.5,46.5,0.00733681559017696,0,0.0321900792783734,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-01,"KXHIGHNY","KXHIGHNY-24JAN01-B46.5",46.5,48.5,0.000447372854274874,0,0.0254384253971894,39.5178541411723,1.49673356697384,39.5304146661248,40,1,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B42.5",42.5,44.5,0.00399888802695491,0,0.0289189102664158,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B44.5",44.5,46.5,0.0367645881713922,0.01249987993482,0.0610292964079644,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B46.5",46.5,48.5,0.158361819192132,0.136529055575974,0.180194582808289,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B48.5",48.5,50.5,0.32120978066946,0.302633976282849,0.339785585056071,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B50.5",50.5,52.5,0.307647718208998,0.288800672573178,0.326494763844818,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B52.5",52.5,54.5,0.139113217320611,0.116895481667023,0.161330952974199,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B54.5",54.5,56.5,0.0296067271988933,0.00519886174287121,0.0540145926549155,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-02,"KXHIGHNY","KXHIGHNY-24JAN02-B56.5",56.5,58.5,0.00295018759550714,0,0.027891183843597,50.1524119737852,2.40490467050989,39.4492093116825,42,2,0
2024-01-03,"KXHIGHNY","KXHIGHNY-24JAN03-B26.5",26.5,28.5,0.0168763407560979,0,0.041538813940976,34.1128286150273,0.646258909919853,39.374686243207,33,1,0
2024-01-03,"KXHIGHNY","KXHIGHNY-24JAN03-B28.5",28.5,30.5,0.0977728247374981,0.0747282812322481,0.120817368242748,34.1128286150273,0.646258909919853,39.374686243207,33,1,0
